Indicator,Percent of children considered to be poor (<100% FPG) by Race / Ethnicity
Source,"SHADAC analysis of the American Community Survey (ACS) Public Use Microdata Sample (PUMS) files.<br />
<br />
Suggested Citation:<br />
SHADAC analysis of [DATA SOURCE], State Health Compare, SHADAC, University of Minnesota, statehealthcompare.shadac.org, Accessed [DATE]."
Notes,"The margin of error (MOE) represents the uncertainty of an estimate due to sampling variability; the calculated MOE is 95%. N/A indicates that data were not available or suppressed because the number of sample cases was too small. Data for 2020 were <a href="https://www.shadac.org/news/changes-to-2020-acs-data-release-US-Census" target="_blank">not officially released by the U.S. Census Bureau</a> due to pandemic-related disruptions to data collection and resulting problems with data quality. Because of<a href="https://www.census.gov/newsroom/blogs/random-samplings/2021/08/improvements-to-2020-census-race-hispanic-origin-question-designs.html" target="_blank"> changes made in 2020 to how the ACS measures race and ethnicity</a>, caution should be used when comparing data by race and ethnicity from 2021 and later to data from 2019 and earlier."
Description,"Percent of children considered to be poor (&lt;100% FPG) by race and ethnicity. The Federal Poverty Guidelines (FPG) set the minimum amount of total income that a family needs for food, clothing, transportation, shelter and other necessities."
16,Idaho,Other / Multiple Races,2019,Percent,0.1841,7.6831999999999998E-2
16,Idaho,White,2019,Percent,0.128,2.7439999999999999E-2
16,Idaho,African-American / Black,2021,Percent,N/A,N/A
16,Idaho,Hispanic / Latino,2021,Percent,0.19716,6.2895826825198384E-2
16,Idaho,Other / Multiple Races,2021,Percent,0.20348,9.2482285038049616E-2
16,Idaho,White,2021,Percent,0.12775,2.6870825837753645E-2
17,Illinois,White,2016,Percent,0.1215,1.01920003E-2
17,Illinois,Other / Multiple Races,2016,Percent,0.166,2.9203999800000002E-2
17,Illinois,Hispanic / Latino,2016,Percent,0.303,2.4695999900000001E-2
17,Illinois,African-American / Black,2016,Percent,0.4633,3.3908002100000001E-2
17,Illinois,White,2015,Percent,0.1292,9.6039995999999996E-3
17,Illinois,African-American / Black,2015,Percent,0.4699,3.3123999799999998E-2
17,Illinois,Hispanic / Latino,2015,Percent,0.3533,2.4892000500000001E-2
17,Illinois,Other / Multiple Races,2015,Percent,0.1813,3.0184000700000001E-2
17,Illinois,White,2014,Percent,0.1383,1.05839996E-2
17,Illinois,African-American / Black,2014,Percent,0.5128,3.1555999100000003E-2
17,Illinois,Hispanic / Latino,2014,Percent,0.3204,2.4304000700000002E-2
17,Illinois,Other / Multiple Races,2014,Percent,0.189,3.6651998800000002E-2
17,Illinois,White,2013,Percent,0.135,1.03879999E-2
17,Illinois,African-American / Black,2013,Percent,0.5029,3.2731998700000001E-2
17,Illinois,Hispanic / Latino,2013,Percent,0.3307,2.4304000700000002E-2
17,Illinois,Other / Multiple Races,2013,Percent,0.1846,3.0575999999999999E-2
17,Illinois,White,2012,Percent,0.1298,1.01920003E-2
17,Illinois,African-American / Black,2012,Percent,0.513,3.03799994E-2
17,Illinois,Hispanic / Latino,2012,Percent,0.3359,2.44999994E-2
17,Illinois,Other / Multiple Races,2012,Percent,0.1832,3.1360000399999997E-2
17,Illinois,White,2011,Percent,0.131,1.05839996E-2
17,Illinois,African-American / Black,2011,Percent,0.4899,3.03799994E-2
17,Illinois,Hispanic / Latino,2011,Percent,0.3593,2.74400003E-2
17,Illinois,Other / Multiple Races,2011,Percent,0.1633,2.9203999800000002E-2
17,Illinois,White,2010,Percent,0.1275,9.2120003000000002E-3
17,Illinois,African-American / Black,2010,Percent,0.4883,2.94000003E-2
17,Illinois,Hispanic / Latino,2010,Percent,0.3355,2.4108000099999999E-2
17,Illinois,Other / Multiple Races,2010,Percent,0.1985,3.2143998899999998E-2
17,Illinois,White,2009,Percent,0.1265,9.6039995999999996E-3
17,Illinois,African-American / Black,2009,Percent,0.4739,2.9791999600000001E-2
17,Illinois,Hispanic / Latino,2009,Percent,0.3334,2.4695999900000001E-2
17,Illinois,Other / Multiple Races,2009,Percent,0.1863,3.1163999800000002E-2
17,Illinois,White,2008,Percent,0.1039,8.2320003000000003E-3
17,Illinois,African-American / Black,2008,Percent,0.4296,2.9203999800000002E-2
17,Illinois,Hispanic / Latino,2008,Percent,0.2758,2.35200003E-2
17,Illinois,Other / Multiple Races,2008,Percent,0.1622,3.03799994E-2
17,Illinois,African-American / Black,2017,Percent,0.4387,3.4692000000000001E-2
17,Illinois,Hispanic / Latino,2017,Percent,0.2612,2.4108000000000001E-2
17,Illinois,Other / Multiple Races,2017,Percent,0.1639,2.8420000000000001E-2
17,Illinois,White,2017,Percent,0.1239,1.0192E-2
17,Illinois,African-American / Black,2018,Percent,0.3914,3.6260000000000001E-2
17,Illinois,Hispanic / Latino,2018,Percent,0.2585,2.5087999999999999E-2
17,Illinois,Other / Multiple Races,2018,Percent,0.1728,2.8615999999999999E-2
17,Illinois,White,2018,Percent,0.1082,9.2119999999999997E-3
17,Illinois,African-American / Black,2019,Percent,0.3797,3.9396E-2
17,Illinois,Hispanic / Latino,2019,Percent,0.2097,2.3912000000000003E-2
17,Illinois,Other / Multiple Races,2019,Percent,0.148,3.2340000000000001E-2
17,Illinois,White,2019,Percent,0.0982,1.0192E-2
17,Illinois,African-American / Black,2021,Percent,0.39225,3.8803059031802076E-2
17,Illinois,Hispanic / Latino,2021,Percent,0.21285,2.2779111813914166E-2
17,Illinois,Other / Multiple Races,2021,Percent,0.13651,2.3993155041352188E-2
17,Illinois,White,2021,Percent,0.09726,1.028088318144132E-2
18,Indiana,African-American / Black,2016,Percent,0.4435,5.8407999600000003E-2
18,Indiana,Hispanic / Latino,2016,Percent,0.3591,5.29200025E-2
18,Indiana,White,2016,Percent,0.168,1.37200002E-2
18,Indiana,Other / Multiple Races,2016,Percent,0.2775,5.7231999899999997E-2
18,Indiana,White,2015,Percent,0.1981,1.50920004E-2
18,Indiana,African-American / Black,2015,Percent,0.4854,5.6056000299999999E-2
18,Indiana,Hispanic / Latino,2015,Percent,0.394,5.3311999899999997E-2
18,Indiana,Other / Multiple Races,2015,Percent,0.3151,5.8800000700000001E-2
18,Indiana,White,2014,Percent,0.2013,1.47000002E-2
18,Indiana,African-American / Black,2014,Percent,0.4924,5.6839998799999999E-2
18,Indiana,Hispanic / Latino,2014,Percent,0.3787,5.2331998900000003E-2
18,Indiana,Other / Multiple Races,2014,Percent,0.3065,6.09560013E-2
18,Indiana,White,2013,Percent,0.1952,1.4503999599999999E-2
18,Indiana,African-American / Black,2013,Percent,0.4637,5.2724000100000001E-2
18,Indiana,Hispanic / Latino,2013,Percent,0.4357,5.3311999899999997E-2
18,Indiana,Other / Multiple Races,2013,Percent,0.3355,6.09560013E-2
18,Indiana,White,2012,Percent,0.1883,1.39159998E-2
18,Indiana,African-American / Black,2012,Percent,0.4782,5.97800016E-2
18,Indiana,Hispanic / Latino,2012,Percent,0.399,5.1548000400000002E-2
18,Indiana,Other / Multiple Races,2012,Percent,0.3262,6.1544001100000002E-2
18,Indiana,White,2011,Percent,0.187,1.4503999599999999E-2
18,Indiana,African-American / Black,2011,Percent,0.5293,5.4095998399999998E-2
18,Indiana,Hispanic / Latino,2011,Percent,0.4527,5.7427998600000002E-2
18,Indiana,Other / Multiple Races,2011,Percent,0.2871,5.5468000500000003E-2
18,Indiana,White,2010,Percent,0.2019,1.41120004E-2
18,Indiana,African-American / Black,2010,Percent,0.475,5.1548000400000002E-2
18,Indiana,Hispanic / Latino,2010,Percent,0.4111,5.0960000599999999E-2
18,Indiana,Other / Multiple Races,2010,Percent,0.3507,5.7819999800000001E-2
18,Indiana,White,2009,Percent,0.1768,1.2543999599999999E-2
18,Indiana,African-American / Black,2009,Percent,0.4876,5.0372000799999997E-2
18,Indiana,Hispanic / Latino,2009,Percent,0.4125,5.3507998600000002E-2
18,Indiana,Other / Multiple Races,2009,Percent,0.2934,5.5075999299999998E-2
18,Indiana,White,2008,Percent,0.1648,1.31320003E-2
18,Indiana,African-American / Black,2008,Percent,0.4194,5.0960000599999999E-2
18,Indiana,Hispanic / Latino,2008,Percent,0.3265,5.2724000100000001E-2
18,Indiana,Other / Multiple Races,2008,Percent,0.2549,5.0960000599999999E-2
18,Indiana,African-American / Black,2017,Percent,0.407,5.3311999999999998E-2
18,Indiana,Hispanic / Latino,2017,Percent,0.3244,4.8607999999999998E-2
18,Indiana,Other / Multiple Races,2017,Percent,0.2553,5.5271999999999995E-2
18,Indiana,White,2017,Percent,0.1645,1.47E-2
18,Indiana,African-American / Black,2018,Percent,0.4201,6.0367999999999998E-2
18,Indiana,Hispanic / Latino,2018,Percent,0.3134,5.0763999999999997E-2
18,Indiana,Other / Multiple Races,2018,Percent,0.3019,6.0564E-2
18,Indiana,White,2018,Percent,0.1503,1.3132E-2
18,Indiana,African-American / Black,2019,Percent,0.3694,6.1543999999999995E-2
18,Indiana,Hispanic / Latino,2019,Percent,0.2505,5.1743999999999998E-2
18,Indiana,Other / Multiple Races,2019,Percent,0.2369,5.4095999999999998E-2
18,Indiana,White,2019,Percent,0.1326,1.2544E-2
18,Indiana,African-American / Black,2021,Percent,0.30922,5.7304002956373987E-2
18,Indiana,Hispanic / Latino,2021,Percent,0.26211,5.0314353531085113E-2
18,Indiana,Other / Multiple Races,2021,Percent,0.22409,4.3094879264929019E-2
18,Indiana,White,2021,Percent,0.13199,1.3643863012564646E-2
19,Iowa,Other / Multiple Races,2016,Percent,0.1821,7.4087999799999998E-2
19,Iowa,Hispanic / Latino,2016,Percent,0.3432,9.0552002199999995E-2
19,Iowa,African-American / Black,2016,Percent,0.4043,0.15307600800000001
19,Iowa,White,2016,Percent,0.1269,1.90120004E-2
19,Iowa,White,2015,Percent,0.1482,2.1756000800000001E-2
19,Iowa,African-American / Black,2015,Percent,0.5675,0.1370040029
19,Iowa,Hispanic / Latino,2015,Percent,0.4107,8.9376002600000004E-2
19,Iowa,Other / Multiple Races,2015,Percent,0.2006,7.1148000700000005E-2
19,Iowa,White,2014,Percent,0.1501,1.9207999100000001E-2
19,Iowa,African-American / Black,2014,Percent,0.511,0.1362199932
19,Iowa,Hispanic / Latino,2014,Percent,0.2946,8.2124002299999999E-2
19,Iowa,Other / Multiple Races,2014,Percent,0.2336,8.6828000799999999E-2
19,Iowa,White,2013,Percent,0.1528,1.9207999100000001E-2
19,Iowa,African-American / Black,2013,Percent,0.5089,0.1313199997
19,Iowa,Hispanic / Latino,2013,Percent,0.3541,0.1001560017
19,Iowa,Other / Multiple Races,2013,Percent,0.3022,0.1015279964
19,Iowa,White,2012,Percent,0.147,1.8815999900000002E-2
19,Iowa,African-American / Black,2012,Percent,0.4031,0.14327600600000001
19,Iowa,Hispanic / Latino,2012,Percent,0.2891,8.4279999100000003E-2
19,Iowa,Other / Multiple Races,2012,Percent,0.2691,8.8200002900000005E-2
19,Iowa,White,2011,Percent,0.1511,2.2148000099999999E-2
19,Iowa,African-American / Black,2011,Percent,0.5741,0.13896399740000001
19,Iowa,Hispanic / Latino,2011,Percent,0.4232,9.0552002199999995E-2
19,Iowa,Other / Multiple Races,2011,Percent,0.2072,8.0752000199999993E-2
19,Iowa,White,2010,Percent,0.1472,1.7443999599999999E-2
19,Iowa,African-American / Black,2010,Percent,0.6217,0.1272040009
19,Iowa,Hispanic / Latino,2010,Percent,0.4401,9.7411997599999994E-2
19,Iowa,Other / Multiple Races,2010,Percent,0.2419,7.7420003700000004E-2
19,Iowa,White,2009,Percent,0.1535,2.0188000099999999E-2
19,Iowa,African-American / Black,2009,Percent,0.3952,0.15601600709999999
19,Iowa,Hispanic / Latino,2009,Percent,0.3944,8.95719975E-2
19,Iowa,Other / Multiple Races,2009,Percent,0.2489,8.95719975E-2
19,Iowa,White,2008,Percent,0.1311,1.84240006E-2
19,Iowa,African-American / Black,2008,Percent,0.4832,0.1671880037
19,Iowa,Hispanic / Latino,2008,Percent,0.2885,0.1028999984
19,Iowa,Other / Multiple Races,2008,Percent,0.2439,8.70240033E-2
19,Iowa,African-American / Black,2017,Percent,0.5026,0.15386
19,Iowa,Hispanic / Latino,2017,Percent,0.1788,6.1936000000000005E-2
19,Iowa,Other / Multiple Races,2017,Percent,0.1755,6.8207999999999991E-2
19,Iowa,White,2017,Percent,0.1019,1.7051999999999998E-2
19,Iowa,African-American / Black,2018,Percent,0.5283,0.14680399999999999
19,Iowa,Hispanic / Latino,2018,Percent,0.2955,8.134000000000001E-2
19,Iowa,Other / Multiple Races,2018,Percent,0.2441,9.2904E-2
19,Iowa,White,2018,Percent,0.1087,1.6268000000000001E-2
19,Iowa,African-American / Black,2019,Percent,0.4564,0.15268399999999999
19,Iowa,Hispanic / Latino,2019,Percent,0.3052,9.2316000000000009E-2
19,Iowa,Other / Multiple Races,2019,Percent,0.1497,7.5263999999999998E-2
19,Iowa,White,2019,Percent,0.101,1.7444000000000001E-2
19,Iowa,African-American / Black,2021,Percent,0.36108,0.19350057921004341
19,Iowa,Hispanic / Latino,2021,Percent,0.20351,6.6709285852697767E-2
19,Iowa,Other / Multiple Races,2021,Percent,0.20942,7.3328098200766079E-2
19,Iowa,White,2021,Percent,0.08958,1.5765083621540589E-2
20,Kansas,White,2016,Percent,0.1252,1.90120004E-2
20,Kansas,Other / Multiple Races,2016,Percent,0.1725,5.5663999200000001E-2
20,Kansas,African-American / Black,2016,Percent,0.405,0.1164240018
20,Kansas,Hispanic / Latino,2016,Percent,0.2612,5.8212000899999998E-2
20,Kansas,White,2015,Percent,0.149,2.0972000399999999E-2
20,Kansas,African-American / Black,2015,Percent,0.4457,0.12269599740000001
20,Kansas,Hispanic / Latino,2015,Percent,0.3679,6.3308000599999997E-2
20,Kansas,Other / Multiple Races,2015,Percent,0.2682,7.78120011E-2
20,Kansas,White,2014,Percent,0.1369,1.9403999700000001E-2
20,Kansas,African-American / Black,2014,Percent,0.4268,0.1183840036
20,Kansas,Hispanic / Latino,2014,Percent,0.3997,6.38960004E-2
20,Kansas,Other / Multiple Races,2014,Percent,0.2063,6.09560013E-2
20,Kansas,White,2013,Percent,0.1533,2.0775999900000001E-2
20,Kansas,African-American / Black,2013,Percent,0.399,0.1009399965
20,Kansas,Hispanic / Latino,2013,Percent,0.3372,6.27200007E-2
20,Kansas,Other / Multiple Races,2013,Percent,0.2593,6.97759986E-2
20,Kansas,White,2012,Percent,0.1594,2.2148000099999999E-2
20,Kansas,African-American / Black,2012,Percent,0.3163,0.11073999850000001
20,Kansas,Hispanic / Latino,2012,Percent,0.3953,6.8011999099999998E-2
20,Kansas,Other / Multiple Races,2012,Percent,0.2732,7.9576000600000002E-2
20,Kansas,White,2011,Percent,0.1458,2.1363999700000001E-2
20,Kansas,African-American / Black,2011,Percent,0.4829,0.1101519987
20,Kansas,Hispanic / Latino,2011,Percent,0.3754,6.1544001100000002E-2
20,Kansas,Other / Multiple Races,2011,Percent,0.2911,7.2912000099999999E-2
20,Kansas,White,2010,Percent,0.1379,1.8228000000000001E-2
20,Kansas,African-American / Black,2010,Percent,0.4386,9.9175997099999996E-2
20,Kansas,Hispanic / Latino,2010,Percent,0.3886,6.9384001200000003E-2
20,Kansas,Other / Multiple Races,2010,Percent,0.2958,7.0363998400000002E-2
20,Kansas,White,2009,Percent,0.1337,1.90120004E-2
20,Kansas,African-American / Black,2009,Percent,0.4911,0.1225000024
20,Kansas,Hispanic / Latino,2009,Percent,0.3998,6.8403996499999994E-2
20,Kansas,Other / Multiple Races,2009,Percent,0.2911,7.2520002700000002E-2
20,Kansas,White,2008,Percent,0.1158,1.8228000000000001E-2
20,Kansas,African-American / Black,2008,Percent,0.3957,0.1083879992
20,Kansas,Hispanic / Latino,2008,Percent,0.2855,6.2916003200000001E-2
20,Kansas,Other / Multiple Races,2008,Percent,0.1744,5.9583999200000001E-2
20,Kansas,African-American / Black,2017,Percent,0.4537,0.12034400000000001
20,Kansas,Hispanic / Latino,2017,Percent,0.2342,5.2920000000000002E-2
20,Kansas,Other / Multiple Races,2017,Percent,0.2134,6.4680000000000001E-2
20,Kansas,White,2017,Percent,0.1306,1.9991999999999999E-2
20,Kansas,African-American / Black,2018,Percent,0.3952,0.12994799999999998
20,Kansas,Hispanic / Latino,2018,Percent,0.3338,5.9583999999999998E-2
20,Kansas,Other / Multiple Races,2018,Percent,0.2182,6.6835999999999993E-2
20,Kansas,White,2018,Percent,0.1128,1.7836000000000001E-2
20,Kansas,African-American / Black,2019,Percent,0.3078,0.12779199999999999
20,Kansas,Hispanic / Latino,2019,Percent,0.2774,6.1739999999999996E-2
20,Kansas,Other / Multiple Races,2019,Percent,0.2056,5.978E-2
20,Kansas,White,2019,Percent,0.108,1.7444000000000001E-2
20,Kansas,African-American / Black,2021,Percent,0.34346,0.13379554932799109
20,Kansas,Hispanic / Latino,2021,Percent,0.25054,5.5523833010810389E-2
20,Kansas,Other / Multiple Races,2021,Percent,0.19128,5.6971080345146058E-2
20,Kansas,White,2021,Percent,0.09733,1.789214660973126E-2
21,Kentucky,White,2016,Percent,0.2447,1.9600000199999999E-2
21,Kentucky,African-American / Black,2016,Percent,0.5114,7.1931995499999998E-2
21,Kentucky,Other / Multiple Races,2016,Percent,0.2935,6.7816004200000002E-2
21,Kentucky,Hispanic / Latino,2016,Percent,0.4761,8.6828000799999999E-2
21,Kentucky,White,2015,Percent,0.266,1.9403999700000001E-2
21,Kentucky,African-American / Black,2015,Percent,0.4638,7.9576000600000002E-2
21,Kentucky,Hispanic / Latino,2015,Percent,0.4655,8.8592000300000001E-2
21,Kentucky,Other / Multiple Races,2015,Percent,0.3396,7.0756003299999995E-2
21,Kentucky,White,2014,Percent,0.2489,1.8619999299999999E-2
21,Kentucky,African-American / Black,2014,Percent,0.5164,7.5263999400000003E-2
21,Kentucky,Hispanic / Latino,2014,Percent,0.5103,8.9767999900000006E-2
21,Kentucky,Other / Multiple Races,2014,Percent,0.3451,7.1736000499999994E-2
21,Kentucky,White,2013,Percent,0.2559,1.8619999299999999E-2
21,Kentucky,African-American / Black,2013,Percent,0.4013,7.3499999900000001E-2
21,Kentucky,Hispanic / Latino,2013,Percent,0.4119,9.4471998500000001E-2
21,Kentucky,Other / Multiple Races,2013,Percent,0.3374,7.78120011E-2
21,Kentucky,White,2012,Percent,0.265,1.8619999299999999E-2
21,Kentucky,African-American / Black,2012,Percent,0.5483,6.97759986E-2
21,Kentucky,Hispanic / Latino,2012,Percent,0.4437,9.0159997300000003E-2
21,Kentucky,Other / Multiple Races,2012,Percent,0.3352,7.2520002700000002E-2
21,Kentucky,White,2011,Percent,0.2773,1.99919995E-2
21,Kentucky,African-American / Black,2011,Percent,0.5231,6.8208001599999998E-2
21,Kentucky,Hispanic / Latino,2011,Percent,0.4834,9.3688003699999994E-2
21,Kentucky,Other / Multiple Races,2011,Percent,0.382,8.9767999900000006E-2
21,Kentucky,White,2010,Percent,0.2616,1.7836000800000001E-2
21,Kentucky,African-American / Black,2010,Percent,0.5219,6.97759986E-2
21,Kentucky,Hispanic / Latino,2010,Percent,0.4421,8.5455998800000002E-2
21,Kentucky,Other / Multiple Races,2010,Percent,0.3525,8.2124002299999999E-2
21,Kentucky,White,2009,Percent,0.2632,1.8228000000000001E-2
21,Kentucky,African-American / Black,2009,Percent,0.5029,6.4484000200000002E-2
21,Kentucky,Hispanic / Latino,2009,Percent,0.4358,9.5452003199999996E-2
21,Kentucky,Other / Multiple Races,2009,Percent,0.3917,7.4479997199999995E-2
21,Kentucky,White,2008,Percent,0.2308,1.7247999100000001E-2
21,Kentucky,African-American / Black,2008,Percent,0.4804,6.6051997200000004E-2
21,Kentucky,Hispanic / Latino,2008,Percent,0.4708,9.4080001100000005E-2
21,Kentucky,Other / Multiple Races,2008,Percent,0.3548,7.4872001999999993E-2
21,Kentucky,African-American / Black,2017,Percent,0.3811,6.8012000000000003E-2
21,Kentucky,Hispanic / Latino,2017,Percent,0.3566,8.8396000000000002E-2
21,Kentucky,Other / Multiple Races,2017,Percent,0.2992,6.4680000000000001E-2
21,Kentucky,White,2017,Percent,0.2423,1.9012000000000001E-2
21,Kentucky,African-American / Black,2018,Percent,0.3928,7.5067999999999996E-2
21,Kentucky,Hispanic / Latino,2018,Percent,0.3787,7.9183999999999991E-2
21,Kentucky,Other / Multiple Races,2018,Percent,0.2774,7.0167999999999994E-2
21,Kentucky,White,2018,Percent,0.2216,1.8031999999999999E-2
21,Kentucky,African-American / Black,2019,Percent,0.3376,7.8008000000000008E-2
21,Kentucky,Hispanic / Latino,2019,Percent,0.3215,8.1143999999999994E-2
21,Kentucky,Other / Multiple Races,2019,Percent,0.2326,6.2328000000000001E-2
21,Kentucky,White,2019,Percent,0.2117,1.8423999999999999E-2
21,Kentucky,African-American / Black,2021,Percent,0.38191,8.5761478076578648E-2
21,Kentucky,Hispanic / Latino,2021,Percent,0.30444,7.4137267715573663E-2
21,Kentucky,Other / Multiple Races,2021,Percent,0.24554,5.6838451001553644E-2
21,Kentucky,White,2021,Percent,0.21249,1.9566197191242592E-2
22,Louisiana,White,2016,Percent,0.1781,1.9992001400000001E-2
22,Louisiana,Other / Multiple Races,2016,Percent,0.3322,6.9188006199999999E-2
22,Louisiana,African-American / Black,2016,Percent,0.5461,3.7239998599999997E-2
22,Louisiana,Hispanic / Latino,2016,Percent,0.3667,8.36919993E-2
22,Louisiana,White,2015,Percent,0.1972,2.1363999700000001E-2
22,Louisiana,African-American / Black,2015,Percent,0.5187,3.4299999499999997E-2
22,Louisiana,Hispanic / Latino,2015,Percent,0.3869,8.4279999100000003E-2
22,Louisiana,Other / Multiple Races,2015,Percent,0.2906,6.9384001200000003E-2
22,Louisiana,White,2014,Percent,0.1775,2.03840006E-2
22,Louisiana,African-American / Black,2014,Percent,0.5304,3.48879993E-2
22,Louisiana,Hispanic / Latino,2014,Percent,0.4008,8.8592000300000001E-2
22,Louisiana,Other / Multiple Races,2014,Percent,0.2735,7.4479997199999995E-2
22,Louisiana,White,2013,Percent,0.1775,2.0579999299999999E-2
22,Louisiana,African-American / Black,2013,Percent,0.5263,3.3319998500000003E-2
22,Louisiana,Hispanic / Latino,2013,Percent,0.365,8.0752000199999993E-2
22,Louisiana,Other / Multiple Races,2013,Percent,0.3073,6.97759986E-2
22,Louisiana,White,2012,Percent,0.1893,2.0579999299999999E-2
22,Louisiana,African-American / Black,2012,Percent,0.5353,3.2143998899999998E-2
22,Louisiana,Hispanic / Latino,2012,Percent,0.3141,7.3891997299999998E-2
22,Louisiana,Other / Multiple Races,2012,Percent,0.2834,6.9972001000000006E-2
22,Louisiana,White,2011,Percent,0.1817,2.0579999299999999E-2
22,Louisiana,African-American / Black,2011,Percent,0.5187,3.3711999700000002E-2
22,Louisiana,Hispanic / Latino,2011,Percent,0.3405,7.8596003400000003E-2
22,Louisiana,Other / Multiple Races,2011,Percent,0.3303,7.6636001499999995E-2
22,Louisiana,White,2010,Percent,0.1804,1.8228000000000001E-2
22,Louisiana,African-American / Black,2010,Percent,0.5249,3.1360000399999997E-2
22,Louisiana,Hispanic / Latino,2010,Percent,0.3178,7.2127997900000004E-2
22,Louisiana,Other / Multiple Races,2010,Percent,0.2942,6.7620001700000001E-2
22,Louisiana,White,2009,Percent,0.158,1.7836000800000001E-2
22,Louisiana,African-American / Black,2009,Percent,0.4915,3.2536000000000002E-2
22,Louisiana,Hispanic / Latino,2009,Percent,0.2592,6.4680002599999994E-2
22,Louisiana,Other / Multiple Races,2009,Percent,0.293,7.1344003099999997E-2
22,Louisiana,White,2008,Percent,0.1577,1.80319995E-2
22,Louisiana,African-American / Black,2008,Percent,0.4279,3.3711999700000002E-2
22,Louisiana,Hispanic / Latino,2008,Percent,0.2586,8.3495996899999994E-2
22,Louisiana,Other / Multiple Races,2008,Percent,0.2289,5.8995999399999999E-2
22,Louisiana,African-American / Black,2017,Percent,0.535,3.6260000000000001E-2
22,Louisiana,Hispanic / Latino,2017,Percent,0.3247,6.8207999999999991E-2
22,Louisiana,Other / Multiple Races,2017,Percent,0.2873,6.9384000000000001E-2
22,Louisiana,White,2017,Percent,0.1709,2.0383999999999999E-2
22,Louisiana,African-American / Black,2018,Percent,0.4927,3.5672000000000002E-2
22,Louisiana,Hispanic / Latino,2018,Percent,0.3103,7.2911999999999991E-2
22,Louisiana,Other / Multiple Races,2018,Percent,0.2841,6.7031999999999994E-2
22,Louisiana,White,2018,Percent,0.175,2.0383999999999999E-2
22,Louisiana,African-American / Black,2019,Percent,0.4638,3.8415999999999999E-2
22,Louisiana,Hispanic / Latino,2019,Percent,0.3421,7.9967999999999997E-2
22,Louisiana,Other / Multiple Races,2019,Percent,0.2997,7.3499999999999996E-2
22,Louisiana,White,2019,Percent,0.1693,2.1364000000000001E-2
22,Louisiana,African-American / Black,2021,Percent,0.46163,3.884212040473807E-2
22,Louisiana,Hispanic / Latino,2021,Percent,0.30496,7.2115564970538823E-2
22,Louisiana,Other / Multiple Races,2021,Percent,0.28289,6.1561079559888363E-2
22,Louisiana,White,2021,Percent,0.14291,1.8763670172837196E-2
23,Maine,African-American / Black,2016,Percent,0.6234,0.2344159931
23,Maine,Other / Multiple Races,2016,Percent,0.275,0.1338680089
23,Maine,Hispanic / Latino,2016,Percent,N/A,N/A
23,Maine,White,2016,Percent,0.193,3.88079993E-2
23,Maine,White,2015,Percent,0.1665,2.9791999600000001E-2
23,Maine,African-American / Black,2015,Percent,0.5845,0.2614639997
23,Maine,Hispanic / Latino,2015,Percent,N/A,N/A
23,Maine,Other / Multiple Races,2015,Percent,0.2876,0.1262239963
23,Maine,White,2014,Percent,0.1981,3.4495998200000003E-2
23,Maine,African-American / Black,2014,Percent,N/A,N/A
23,Maine,Hispanic / Latino,2014,Percent,N/A,N/A
23,Maine,Other / Multiple Races,2014,Percent,0.3608,0.14327600600000001
23,Maine,White,2013,Percent,0.2002,3.6651998800000002E-2
23,Maine,African-American / Black,2013,Percent,0.684,0.2990959883
23,Maine,Hispanic / Latino,2013,Percent,0.4812,0.28165200350000003
23,Maine,Other / Multiple Races,2013,Percent,N/A,N/A
23,Maine,White,2012,Percent,0.2004,3.6651998800000002E-2
23,Maine,African-American / Black,2012,Percent,N/A,N/A
23,Maine,Hispanic / Latino,2012,Percent,0.3281,0.1787520051
23,Maine,Other / Multiple Races,2012,Percent,0.422,0.1573880017
23,Maine,White,2011,Percent,0.1955,3.1163999800000002E-2
23,Maine,African-American / Black,2011,Percent,N/A,N/A
23,Maine,Hispanic / Latino,2011,Percent,N/A,N/A
23,Maine,Other / Multiple Races,2011,Percent,0.3227,0.12838000059999999
23,Maine,White,2010,Percent,0.1987,3.2143998899999998E-2
23,Maine,African-American / Black,2010,Percent,N/A,N/A
23,Maine,Hispanic / Latino,2010,Percent,N/A,N/A
23,Maine,Other / Multiple Races,2010,Percent,0.2193,0.11191599820000001
23,Maine,White,2009,Percent,0.1831,2.9203999800000002E-2
23,Maine,African-American / Black,2009,Percent,N/A,N/A
23,Maine,Hispanic / Latino,2009,Percent,N/A,N/A
23,Maine,Other / Multiple Races,2009,Percent,0.4153,0.14699999990000001
23,Maine,White,2008,Percent,0.1791,2.9596000899999999E-2
23,Maine,African-American / Black,2008,Percent,0.7426,0.2497040033
23,Maine,Hispanic / Latino,2008,Percent,N/A,N/A
23,Maine,Other / Multiple Races,2008,Percent,0.2424,0.1217160001
23,Maine,African-American / Black,2017,Percent,N/A,N/A
23,Maine,Hispanic / Latino,2017,Percent,N/A,N/A
23,Maine,Other / Multiple Races,2017,Percent,0.3346,0.15346799999999999
23,Maine,White,2017,Percent,0.1356,2.6852000000000001E-2
23,Maine,African-American / Black,2018,Percent,N/A,N/A
23,Maine,Hispanic / Latino,2018,Percent,N/A,N/A
23,Maine,Other / Multiple Races,2018,Percent,0.1993,9.8979999999999999E-2
23,Maine,White,2018,Percent,0.1379,2.7439999999999999E-2
23,Maine,African-American / Black,2019,Percent,N/A,N/A
23,Maine,Hispanic / Latino,2019,Percent,N/A,N/A
